schema_variant,retriever,query_mode,keyword_profile,vector_profile,doc_profile,case_id,db_id,question,search_expressions,table_recall_at_5,column_recall_at_10,mrr_table,mrr_column,planner_latency_ms,query_embedding_ms,keyword_recall_ms,vector_recall_ms,merge_ms,rerank_ms,retrieval_only_ms,query_preprocess_ms,e2e_ms,vector_available,db_search_call_count,failure_class,failure_reason
keyword_raw,keyword,multi,raw,none,raw,spider_car_1_006,car_1,What is the number of continents?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,787.642,0.0,7.227,0.0,0.135,0.0,7.375,787.642,795.017,,4,none,
vector_raw,vector,single,none,raw,raw,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""How many singers do we have?""]",True,True,1.0,0.0,0.0,462.193,0.0,15.129,0.087,0.0,477.376,462.193,477.376,True,1,none,
vector_raw,vector,single,none,raw,raw,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""Find the number of pets whose weight is heavier than 10.""]",True,True,1.0,0.5,0.0,479.224,0.0,8.866,0.101,0.0,488.246,479.224,488.246,True,1,none,
vector_raw,vector,single,none,raw,raw,spider_car_1_003,car_1,How many continents are there?,"[""How many continents are there?""]",True,True,1.0,0.0,0.0,455.539,0.0,16.229,0.139,0.0,471.829,455.539,471.829,True,1,none,
vector_raw,vector,single,none,raw,raw,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""What is the total number of singers?""]",True,True,1.0,0.0,0.0,426.354,0.0,13.596,0.123,0.0,440.057,426.354,440.057,True,1,none,
vector_raw,vector,single,none,raw,raw,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""How many pets have a greater weight than 10?""]",True,True,1.0,0.5,0.0,451.409,0.0,9.011,0.073,0.0,460.52,451.409,460.52,True,1,none,
vector_raw,vector,single,none,raw,raw,spider_car_1_006,car_1,What is the number of continents?,"[""What is the number of continents?""]",True,True,1.0,0.0,0.0,453.419,0.0,17.561,0.144,0.0,471.071,453.419,471.071,True,1,none,
vector_raw,vector,multi,none,raw,raw,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""singer count"", ""singers"", ""singer"", ""num_singers""]",True,True,1.0,0.0,881.51,1760.742,0.0,53.674,0.545,0.0,1814.645,2642.252,2696.155,True,4,none,
vector_raw,vector,multi,none,raw,raw,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""pets weight"", ""pet weight > 10"", ""number of pets"", ""heavier than 10""]",True,True,1.0,0.5,855.567,1849.859,0.0,38.048,0.224,0.0,1888.165,2705.426,2743.732,True,4,none,
vector_raw,vector,multi,none,raw,raw,spider_car_1_003,car_1,How many continents are there?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,749.977,1882.555,0.0,66.886,0.461,0.0,1949.692,2632.532,2699.669,True,4,none,
vector_raw,vector,multi,none,raw,raw,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""singer"", ""total count"", ""number of singers"", ""singer count""]",True,True,1.0,0.0,818.483,1866.816,0.0,54.821,0.34,0.0,1921.887,2685.299,2740.37,True,4,none,
vector_raw,vector,multi,none,raw,raw,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""pets weight"", ""pet weight > 10"", ""animal weight"", ""pets count weight""]",True,True,1.0,1.0,830.959,1850.275,0.0,42.183,0.34,0.0,1892.742,2681.234,2723.701,True,4,none,
vector_raw,vector,multi,none,raw,raw,spider_car_1_006,car_1,What is the number of continents?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,787.642,1759.958,0.0,62.245,0.298,0.0,1822.414,2547.6,2610.056,True,4,none,
hybrid_raw,hybrid,single,raw,raw,raw,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""How many singers do we have?""]",True,True,0.25,0.0,0.0,459.193,4.705,13.65,0.185,0.0,477.787,459.193,477.787,True,1,none,
hybrid_raw,hybrid,single,raw,raw,raw,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""Find the number of pets whose weight is heavier than 10.""]",True,True,1.0,0.5,0.0,448.24,5.947,8.375,0.171,0.0,462.757,448.24,462.757,True,1,none,
hybrid_raw,hybrid,single,raw,raw,raw,spider_car_1_003,car_1,How many continents are there?,"[""How many continents are there?""]",True,True,1.0,0.0,0.0,425.963,3.45,16.097,0.259,0.0,445.757,425.963,445.757,True,1,none,
hybrid_raw,hybrid,single,raw,raw,raw,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""What is the total number of singers?""]",True,True,1.0,0.0,0.0,460.819,4.873,16.112,0.298,0.0,482.091,460.819,482.091,True,1,none,
hybrid_raw,hybrid,single,raw,raw,raw,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""How many pets have a greater weight than 10?""]",True,True,1.0,0.5,0.0,501.072,7.566,10.167,0.175,0.0,519.222,501.072,519.222,True,1,none,
hybrid_raw,hybrid,single,raw,raw,raw,spider_car_1_006,car_1,What is the number of continents?,"[""What is the number of continents?""]",True,True,1.0,0.0,0.0,546.681,4.959,17.404,0.332,0.0,569.323,546.681,569.323,True,1,none,
hybrid_raw,hybrid,multi,raw,raw,raw,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""singer count"", ""singers"", ""singer"", ""num_singers""]",True,True,1.0,0.0,881.51,1893.515,9.362,52.067,0.906,0.0,1955.755,2775.025,2837.265,True,4,none,
hybrid_raw,hybrid,multi,raw,raw,raw,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""pets weight"", ""pet weight > 10"", ""number of pets"", ""heavier than 10""]",True,True,1.0,0.5,855.567,1754.266,10.867,38.856,1.332,0.0,1804.724,2609.833,2660.291,True,4,none,
hybrid_raw,hybrid,multi,raw,raw,raw,spider_car_1_003,car_1,How many continents are there?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,749.977,1783.228,10.371,61.986,0.783,0.0,1856.325,2533.205,2606.302,True,4,none,
hybrid_raw,hybrid,multi,raw,raw,raw,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""singer"", ""total count"", ""number of singers"", ""singer count""]",True,True,1.0,0.0,818.483,1905.557,11.402,52.708,0.852,0.0,1970.421,2724.04,2788.904,True,4,none,
hybrid_raw,hybrid,multi,raw,raw,raw,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""pets weight"", ""pet weight > 10"", ""animal weight"", ""pets count weight""]",True,True,1.0,0.5,830.959,1879.255,10.908,39.571,0.772,0.0,1930.44,2710.214,2761.399,True,4,none,
hybrid_raw,hybrid,multi,raw,raw,raw,spider_car_1_006,car_1,What is the number of continents?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,787.642,1861.143,10.58,60.474,1.04,0.0,1933.128,2648.785,2720.77,True,4,none,
keyword_enriched,keyword,single,enriched,none,enriched,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""How many singers do we have?""]",False,True,0.0,0.0,0.0,0.0,6.482,0.0,0.063,0.0,6.575,0.0,6.575,,1,retrieval_miss,missing expected tables in retrieval: singer
keyword_enriched,keyword,single,enriched,none,enriched,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""Find the number of pets whose weight is heavier than 10.""]",True,True,1.0,0.5,0.0,0.0,9.978,0.0,0.097,0.0,10.072,0.0,10.072,,1,none,
keyword_enriched,keyword,single,enriched,none,enriched,spider_car_1_003,car_1,How many continents are there?,"[""How many continents are there?""]",True,True,1.0,0.0,0.0,0.0,5.347,0.0,0.059,0.0,5.435,0.0,5.435,,1,none,
keyword_enriched,keyword,single,enriched,none,enriched,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""What is the total number of singers?""]",True,True,1.0,0.0,0.0,0.0,6.758,0.0,0.062,0.0,6.845,0.0,6.845,,1,none,
keyword_enriched,keyword,single,enriched,none,enriched,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""How many pets have a greater weight than 10?""]",True,True,1.0,0.5,0.0,0.0,4.919,0.0,0.048,0.0,5.015,0.0,5.015,,1,none,
keyword_enriched,keyword,single,enriched,none,enriched,spider_car_1_006,car_1,What is the number of continents?,"[""What is the number of continents?""]",True,True,1.0,0.0,0.0,0.0,4.359,0.0,0.067,0.0,4.429,0.0,4.429,,1,none,
keyword_enriched,keyword,multi,enriched,none,enriched,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""singer count"", ""singers"", ""singer"", ""num_singers""]",True,True,1.0,0.0,881.51,0.0,6.303,0.0,0.182,0.0,6.457,881.51,887.967,,4,none,
keyword_enriched,keyword,multi,enriched,none,enriched,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""pets weight"", ""pet weight > 10"", ""number of pets"", ""heavier than 10""]",True,True,1.0,0.3333,855.567,0.0,8.561,0.0,0.138,0.0,8.714,855.567,864.281,,4,none,
keyword_enriched,keyword,multi,enriched,none,enriched,spider_car_1_003,car_1,How many continents are there?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,749.977,0.0,8.303,0.0,0.294,0.0,8.452,749.977,758.429,,4,none,
keyword_enriched,keyword,multi,enriched,none,enriched,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""singer"", ""total count"", ""number of singers"", ""singer count""]",True,True,1.0,0.0,818.483,0.0,10.637,0.0,0.263,0.0,10.814,818.483,829.297,,4,none,
keyword_enriched,keyword,multi,enriched,none,enriched,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""pets weight"", ""pet weight > 10"", ""animal weight"", ""pets count weight""]",True,True,1.0,0.5,830.959,0.0,11.914,0.0,0.309,0.0,12.116,830.959,843.075,,4,none,
keyword_enriched,keyword,multi,enriched,none,enriched,spider_car_1_006,car_1,What is the number of continents?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,787.642,0.0,10.045,0.0,0.175,0.0,10.286,787.642,797.928,,4,none,
vector_enriched,vector,single,none,enriched,enriched,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""How many singers do we have?""]",True,True,0.3333,0.0,0.0,536.103,0.0,18.045,0.149,0.0,554.21,536.103,554.21,True,1,none,
vector_enriched,vector,single,none,enriched,enriched,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""Find the number of pets whose weight is heavier than 10.""]",True,True,1.0,0.5,0.0,550.617,0.0,12.013,0.136,0.0,562.81,550.617,562.81,True,1,none,
vector_enriched,vector,single,none,enriched,enriched,spider_car_1_003,car_1,How many continents are there?,"[""How many continents are there?""]",True,True,1.0,0.0,0.0,496.914,0.0,17.449,0.085,0.0,514.443,496.914,514.443,True,1,none,
vector_enriched,vector,single,none,enriched,enriched,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""What is the total number of singers?""]",True,True,0.3333,0.0,0.0,463.273,0.0,12.861,0.133,0.0,476.207,463.273,476.207,True,1,none,
vector_enriched,vector,single,none,enriched,enriched,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""How many pets have a greater weight than 10?""]",True,True,1.0,0.3333,0.0,2020.285,0.0,10.23,0.154,0.0,2030.61,2020.285,2030.61,True,1,none,
vector_enriched,vector,single,none,enriched,enriched,spider_car_1_006,car_1,What is the number of continents?,"[""What is the number of continents?""]",True,True,1.0,0.0,0.0,535.576,0.0,18.973,0.147,0.0,554.651,535.576,554.651,True,1,none,
vector_enriched,vector,multi,none,enriched,enriched,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""singer count"", ""singers"", ""singer"", ""num_singers""]",True,True,0.5,0.0,881.51,1921.538,0.0,54.277,0.27,0.0,1976.051,2803.048,2857.561,True,4,none,
vector_enriched,vector,multi,none,enriched,enriched,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""pets weight"", ""pet weight > 10"", ""number of pets"", ""heavier than 10""]",True,True,1.0,0.5,855.567,2120.944,0.0,39.149,0.295,0.0,2160.295,2976.511,3015.862,True,4,none,
vector_enriched,vector,multi,none,enriched,enriched,spider_car_1_003,car_1,How many continents are there?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,749.977,2848.149,0.0,57.074,0.294,0.0,2905.639,3598.126,3655.616,True,4,none,
vector_enriched,vector,multi,none,enriched,enriched,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""singer"", ""total count"", ""number of singers"", ""singer count""]",True,True,0.3333,0.0,818.483,1768.08,0.0,47.364,0.249,0.0,1815.618,2586.563,2634.101,True,4,none,
vector_enriched,vector,multi,none,enriched,enriched,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""pets weight"", ""pet weight > 10"", ""animal weight"", ""pets count weight""]",True,True,1.0,0.5,830.959,1754.449,0.0,35.938,0.382,0.0,1790.615,2585.408,2621.574,True,4,none,
vector_enriched,vector,multi,none,enriched,enriched,spider_car_1_006,car_1,What is the number of continents?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,787.642,1830.761,0.0,57.437,0.253,0.0,1888.408,2618.403,2676.05,True,4,none,
hybrid_enriched,hybrid,single,enriched,enriched,enriched,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""How many singers do we have?""]",False,True,0.1667,0.0,0.0,451.984,4.934,11.107,0.168,0.0,468.228,451.984,468.228,True,1,retrieval_miss,missing expected tables in retrieval: singer
hybrid_enriched,hybrid,single,enriched,enriched,enriched,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""Find the number of pets whose weight is heavier than 10.""]",True,True,1.0,0.5,0.0,402.016,7.115,7.967,0.194,0.0,417.31,402.016,417.31,True,1,none,
hybrid_enriched,hybrid,single,enriched,enriched,enriched,spider_car_1_003,car_1,How many continents are there?,"[""How many continents are there?""]",True,True,1.0,0.0,0.0,448.009,3.64,14.603,0.21,0.0,466.443,448.009,466.443,True,1,none,
hybrid_enriched,hybrid,single,enriched,enriched,enriched,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""What is the total number of singers?""]",True,True,1.0,0.0,0.0,421.123,4.623,12.596,0.176,0.0,438.523,421.123,438.523,True,1,none,
hybrid_enriched,hybrid,single,enriched,enriched,enriched,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""How many pets have a greater weight than 10?""]",True,True,1.0,0.5,0.0,454.464,5.281,8.812,0.177,0.0,468.737,454.464,468.737,True,1,none,
hybrid_enriched,hybrid,single,enriched,enriched,enriched,spider_car_1_006,car_1,What is the number of continents?,"[""What is the number of continents?""]",True,True,1.0,0.0,0.0,428.405,6.35,14.994,0.301,0.0,450.067,428.405,450.067,True,1,none,
hybrid_enriched,hybrid,multi,enriched,enriched,enriched,spider_concert_singer_001,concert_singer,How many singers do we have?,"[""singer count"", ""singers"", ""singer"", ""num_singers""]",True,True,1.0,0.0,881.51,1851.78,9.543,48.972,0.813,0.0,1911.04,2733.29,2792.55,True,4,none,
hybrid_enriched,hybrid,multi,enriched,enriched,enriched,spider_pets_1_002,pets_1,Find the number of pets whose weight is heavier than 10.,"[""pets weight"", ""pet weight > 10"", ""number of pets"", ""heavier than 10""]",True,True,1.0,0.5,855.567,1692.376,9.309,35.431,0.733,0.0,1737.686,2547.943,2593.253,True,4,none,
hybrid_enriched,hybrid,multi,enriched,enriched,enriched,spider_car_1_003,car_1,How many continents are there?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,749.977,1760.135,11.98,61.757,1.288,0.0,1834.835,2510.112,2584.812,True,4,none,
hybrid_enriched,hybrid,multi,enriched,enriched,enriched,spider_concert_singer_004,concert_singer,What is the total number of singers?,"[""singer"", ""total count"", ""number of singers"", ""singer count""]",True,True,1.0,0.0,818.483,1839.913,10.462,46.39,0.784,0.0,1897.459,2658.396,2715.942,True,4,none,
hybrid_enriched,hybrid,multi,enriched,enriched,enriched,spider_pets_1_005,pets_1,How many pets have a greater weight than 10?,"[""pets weight"", ""pet weight > 10"", ""animal weight"", ""pets count weight""]",True,True,1.0,0.5,830.959,1699.253,12.051,37.204,0.892,0.0,1749.209,2530.212,2580.168,True,4,none,
hybrid_enriched,hybrid,multi,enriched,enriched,enriched,spider_car_1_006,car_1,What is the number of continents?,"[""continents"", ""continent count"", ""number of continents"", ""continent""]",True,True,1.0,0.0,787.642,1796.027,11.506,58.659,1.206,0.0,1867.145,2583.669,2654.787,True,4,none,
